village,district,state,N,P,K,pH,OC,B,Fe,Zn,S,Temperature,Humidity,Rainfall_monthly,cycle,district_code,state_code,farms_averaged
Atargaon,Balod,Chhattisgarh,175.62,10.3,363.32,6.92,0.62,0.56,25.44,0.75,8.75,27.0,72,130,2024-25,646,22,2
Bodal,Balod,Chhattisgarh,238.34,9.56,620.04,6.61,0.64,0.86,28.87,1.07,7.9,27.0,72,130,2024-25,646,22,12
Borgaon,Balod,Chhattisgarh,243.1,30.2,441.21,5.56,0.41,0.53,36.35,0.64,9.84,27.0,72,130,2024-25,646,22,8
Dengrapar,Balod,Chhattisgarh,319.87,23.72,358.87,6.83,0.68,1.68,15.14,0.91,8.12,27.0,72,130,2024-25,646,22,4
Hitkasa,Balod,Chhattisgarh,235.83,16.26,345.36,6.47,0.78,0.75,36.06,0.7,6.5,27.0,72,130,2024-25,646,22,5
Jarwai,Balod,Chhattisgarh,236.25,12.84,277.05,7.1,0.58,0.88,25.79,0.82,10.42,27.0,72,130,2024-25,646,22,6
Kotera,Balod,Chhattisgarh,263.11,13.03,604.98,5.93,0.7,0.4,34.59,0.6,8.27,27.0,72,130,2024-25,646,22,13
Pakur Bhat,Balod,Chhattisgarh,263.42,21.32,309.97,6.79,0.64,0.58,13.63,0.31,10.75,27.0,72,130,2024-25,646,22,5
Pangri,Balod,Chhattisgarh,279.81,18.8,443.48,6.94,0.4,1.15,20.42,0.89,4.6,27.0,72,130,2024-25,646,22,13
Piparchhedi,Balod,Chhattisgarh,302.31,26.88,488.27,6.22,0.72,1.03,17.3,0.37,11.38,27.0,72,130,2024-25,646,22,10
Piparkhar,Balod,Chhattisgarh,259.61,11.41,328.01,6.57,0.52,0.81,33.65,1.0,5.92,27.0,72,130,2024-25,646,22,23
Saja,Balod,Chhattisgarh,261.63,11.0,385.97,6.75,0.83,0.61,32.66,0.64,9.29,27.0,72,130,2024-25,646,22,7
Taroud,Balod,Chhattisgarh,254.46,25.09,328.46,6.39,0.5,0.65,17.89,0.48,11.61,27.0,72,130,2024-25,646,22,7
Achankpur,Baloda Bazar,Chhattisgarh,288.57,13.44,290.08,6.4,0.35,0.2,4.33,0.44,37.5,27.0,72,130,2025-26,644,22,1
Arjuni,Baloda Bazar,Chhattisgarh,217.43,16.57,336.52,7.02,0.41,0.43,12.43,0.52,25.04,27.0,72,130,2025-26,644,22,6
Basin,Baloda Bazar,Chhattisgarh,163.07,9.86,496.16,7.2,0.28,0.1,8.42,0.16,32.5,27.0,72,130,2025-26,644,22,1
Basinpali,Baloda Bazar,Chhattisgarh,125.44,11.65,278.88,6.2,0.52,0.2,27.17,0.64,37.5,27.0,72,130,2025-26,644,22,1
Deori,Baloda Bazar,Chhattisgarh,190.84,18.14,358.52,6.8,0.66,0.29,10.23,0.58,26.47,27.0,72,130,2025-26,644,22,28
Dhekuna,Baloda Bazar,Chhattisgarh,171.43,7.76,386.96,7.52,0.44,0.47,10.36,0.74,58.75,27.0,72,130,2025-26,644,22,6
Jarve,Baloda Bazar,Chhattisgarh,172.98,14.11,422.59,7.12,0.51,0.25,14.1,0.53,30.0,27.0,72,130,2025-26,644,22,4
Sakri,Baloda Bazar,Chhattisgarh,206.55,15.38,264.26,6.58,0.41,0.52,8.09,0.46,22.6,27.0,72,130,2025-26,644,22,12
Adhaura,Balrampur,Chhattisgarh,270.95,8.62,235.2,5.51,0.45,0.91,30.09,0.58,26.77,27.0,72,130,2025-26,649,22,5
Bahar Chura (431879),Balrampur,Chhattisgarh,282.24,11.47,254.24,6.96,0.36,0.94,14.14,0.55,37.8,27.0,72,130,2025-26,649,22,2
Bhelwadih,Balrampur,Chhattisgarh,267.9,8.82,279.28,6.39,0.5,0.91,11.94,0.91,18.82,27.0,72,130,2025-26,649,22,14
Dipadih Kalan,Balrampur,Chhattisgarh,188.16,8.24,273.28,6.05,0.35,0.9,25.68,0.47,38.92,27.0,72,130,2025-26,649,22,1
Jargim,Balrampur,Chhattisgarh,313.6,7.8,323.68,5.02,0.64,0.89,34.56,0.41,37.8,27.0,72,130,2025-26,649,22,1
Makad,Balrampur,Chhattisgarh,271.07,6.07,283.32,5.58,0.32,0.83,8.86,0.41,24.29,27.0,72,130,2025-26,649,22,3
Natwarnagar (432344),Balrampur,Chhattisgarh,275.97,8.18,271.41,5.28,0.5,1.0,28.55,0.55,36.03,27.0,72,130,2025-26,649,22,3
Pachawal,Balrampur,Chhattisgarh,188.16,11.47,320.32,6.18,0.26,0.81,8.64,0.68,38.64,27.0,72,130,2025-26,649,22,1
Pachawal (431847),Balrampur,Chhattisgarh,221.61,10.71,255.55,6.32,0.49,0.88,8.85,0.7,36.73,27.0,72,130,2025-26,649,22,12
Pendari,Balrampur,Chhattisgarh,273.68,6.26,257.5,6.18,0.33,1.83,7.67,0.37,25.05,27.0,72,130,2025-26,649,22,6
Tatijhariya (432350),Balrampur,Chhattisgarh,289.9,10.33,289.96,5.12,0.48,0.92,38.84,0.52,33.23,27.0,72,130,2025-26,649,22,9
Tikni,Balrampur,Chhattisgarh,250.88,10.48,324.8,5.1,0.42,0.69,54.28,0.44,24.08,27.0,72,130,2025-26,649,22,1
Alnar,Bastar,Chhattisgarh,257.57,18.46,270.03,5.68,0.45,0.49,12.94,0.56,18.57,27.0,72,130,2024-25,374,22,6
Babusemra,Bastar,Chhattisgarh,238.53,13.61,211.07,6.0,0.49,0.49,16.91,0.66,15.78,27.0,72,130,2024-25,374,22,19
Badrenga,Bastar,Chhattisgarh,272.48,19.84,213.87,5.78,0.51,0.82,27.51,1.05,23.16,27.0,72,130,2024-25,374,22,18
Bakawand,Bastar,Chhattisgarh,296.38,15.83,239.89,5.88,0.55,0.53,26.33,0.82,24.19,27.0,72,130,2024-25,374,22,11
Bastanar,Bastar,Chhattisgarh,267.19,10.43,319.2,6.01,0.58,0.72,10.51,0.63,18.5,27.0,72,130,2024-25,374,22,1
Bhainsgaon,Bastar,Chhattisgarh,234.15,12.76,225.31,5.73,0.47,0.51,38.63,0.58,14.08,27.0,72,130,2024-25,374,22,3
Bhanpuri,Bastar,Chhattisgarh,258.41,15.35,231.5,6.3,0.53,0.56,21.35,0.77,22.04,27.0,72,130,2024-25,374,22,13
Bhond,Bastar,Chhattisgarh,264.04,14.7,156.41,6.14,0.5,0.52,33.64,0.48,19.39,27.0,72,130,2024-25,374,22,8
Chhindgaon,Bastar,Chhattisgarh,259.48,17.52,236.66,6.09,0.52,0.54,20.49,0.68,23.22,27.0,72,130,2024-25,374,22,7
Ghatpadmoor,Bastar,Chhattisgarh,277.22,18.43,283.5,5.94,0.48,0.51,43.7,1.09,6.73,27.0,72,130,2024-25,374,22,16
Gumiyapal,Bastar,Chhattisgarh,254.25,14.28,202.36,6.14,0.5,0.45,46.05,0.67,13.86,27.0,72,130,2024-25,374,22,11
Gunpur,Bastar,Chhattisgarh,292.63,17.26,270.57,6.11,0.63,0.58,22.54,0.67,20.89,27.0,72,130,2024-25,374,22,21
Hathi Darha,Bastar,Chhattisgarh,250.88,16.27,227.44,5.67,0.48,0.45,21.27,1.05,17.51,27.0,72,130,2024-25,374,22,4
Jharumargaon,Bastar,Chhattisgarh,306.07,14.78,127.28,5.69,0.47,0.52,22.91,1.11,17.73,27.0,72,130,2024-25,374,22,5
Kalcha,Bastar,Chhattisgarh,188.16,12.34,322.26,5.78,0.4,0.46,21.14,1.21,19.25,27.0,72,130,2024-25,374,22,2
Katakanda,Bastar,Chhattisgarh,238.33,10.53,177.78,5.51,0.44,0.48,21.97,0.98,20.34,27.0,72,130,2024-25,374,22,3
Kesharpal,Bastar,Chhattisgarh,223.28,17.33,249.64,6.25,0.6,0.58,23.68,0.82,21.76,27.0,72,130,2024-25,374,22,18
Kolawali,Bastar,Chhattisgarh,258.28,20.94,210.65,5.86,0.44,0.52,7.51,0.73,15.04,27.0,72,130,2024-25,374,22,4
Kurenga,Bastar,Chhattisgarh,188.16,15.58,283.24,6.22,0.37,0.46,113.1,0.41,6.38,27.0,72,130,2024-25,374,22,1
Mandar,Bastar,Chhattisgarh,285.99,22.28,250.53,5.87,0.56,0.5,9.31,0.74,20.7,27.0,72,130,2024-25,374,22,10
Matkot,Bastar,Chhattisgarh,273.97,17.36,164.04,5.85,0.48,0.48,22.6,0.65,20.52,27.0,72,130,2024-25,374,22,31
Naharni,Bastar,Chhattisgarh,238.34,7.16,243.04,5.64,0.67,0.73,9.88,0.52,13.0,27.0,72,130,2024-25,374,22,1
Palanar,Bastar,Chhattisgarh,273.56,20.58,154.97,5.84,0.48,0.49,25.63,1.02,17.31,27.0,72,130,2024-25,374,22,8
Parlameta,Bastar,Chhattisgarh,248.43,21.22,187.79,5.96,0.57,0.53,23.75,1.03,16.44,27.0,72,130,2024-25,374,22,21
Pathari,Bastar,Chhattisgarh,242.62,13.73,293.26,6.27,0.56,0.56,21.52,0.65,20.11,27.0,72,130,2024-25,374,22,6
Sanwgel,Bastar,Chhattisgarh,230.31,15.08,189.89,5.8,0.46,0.52,21.35,0.94,17.85,27.0,72,130,2024-25,374,22,14
Satashpur,Bastar,Chhattisgarh,381.43,18.63,196.92,5.93,0.53,0.52,17.22,0.44,18.01,27.0,72,130,2024-25,374,22,83
Sautpur,Bastar,Chhattisgarh,222.71,18.66,202.8,5.76,0.46,0.5,16.69,0.96,16.47,27.0,72,130,2024-25,374,22,34
Tandapal,Bastar,Chhattisgarh,229.97,16.48,159.97,5.89,0.55,0.48,18.03,0.79,0.45,27.0,72,130,2024-25,374,22,3
Tekameta,Bastar,Chhattisgarh,163.07,16.47,93.18,6.07,0.34,0.41,53.91,0.25,26.1,27.0,72,130,2024-25,374,22,4
Titirgaon,Bastar,Chhattisgarh,261.38,12.47,199.95,5.84,0.52,0.5,14.74,0.92,0.46,27.0,72,130,2024-25,374,22,17
Amlidih,Bemetara,Chhattisgarh,211.7,17.53,349.23,7.23,0.63,0.37,5.12,0.4,9.78,27.0,72,130,2024-25,650,22,8
Baghul,Bemetara,Chhattisgarh,150.52,19.66,396.48,7.36,0.69,0.23,5.14,0.31,10.2,27.0,72,130,2024-25,650,22,1
Baijalpur,Bemetara,Chhattisgarh,175.61,15.13,293.44,7.43,0.57,0.38,4.33,0.28,7.4,27.0,72,130,2024-25,650,22,1
Bhikhampur,Bemetara,Chhattisgarh,225.69,16.62,363.1,7.24,0.61,0.38,4.38,0.44,10.56,27.0,72,130,2024-25,650,22,5
Birampur,Bemetara,Chhattisgarh,184.82,14.96,362.81,7.22,0.61,0.36,4.27,0.42,9.81,27.0,72,130,2024-25,650,22,54
Char Bhatha,Bemetara,Chhattisgarh,247.67,17.02,478.36,6.44,0.77,0.94,5.3,0.51,1.85,27.0,72,130,2024-25,650,22,24
Chotmarra,Bemetara,Chhattisgarh,177.64,14.19,353.8,7.05,0.72,0.38,4.54,0.42,9.93,27.0,72,130,2024-25,650,22,31
Ghotmarra,Bemetara,Chhattisgarh,175.61,13.41,374.68,6.9,0.5,0.39,5.31,0.37,7.1,27.0,72,130,2024-25,650,22,1
Godhi Kalan,Bemetara,Chhattisgarh,225.79,16.09,362.51,7.17,0.6,0.36,4.39,0.33,9.7,27.0,72,130,2024-25,650,22,6
Hasda,Bemetara,Chhattisgarh,213.24,13.02,375.24,7.31,0.6,0.39,4.44,0.44,9.77,27.0,72,130,2024-25,650,22,7
Jhal,Bemetara,Chhattisgarh,182.58,11.92,367.78,7.27,0.46,0.38,4.54,0.35,10.14,27.0,72,130,2024-25,650,22,9
Maniyari,Bemetara,Chhattisgarh,169.96,14.08,359.33,7.24,0.52,0.37,4.57,0.41,9.59,27.0,72,130,2024-25,650,22,31
Nawagaon Gahira,Bemetara,Chhattisgarh,227.58,20.56,331.15,7.1,0.6,0.35,4.52,0.43,9.49,27.0,72,130,2024-25,650,22,7
Padmi,Bemetara,Chhattisgarh,203.84,21.23,333.85,7.06,0.67,0.34,4.5,0.47,9.71,27.0,72,130,2024-25,650,22,8
Sagona,Bemetara,Chhattisgarh,210.12,16.41,366.1,7.09,0.64,0.3,5.07,0.39,8.94,27.0,72,130,2024-25,650,22,8
Tendubhatha,Bemetara,Chhattisgarh,188.1,15.77,331.52,7.23,0.75,0.3,4.32,0.37,12.18,27.0,72,130,2024-25,650,22,6
Bengloor,Bijapur,Chhattisgarh,221.61,12.1,345.53,6.89,1.05,0.6,5.72,1.2,10.77,27.0,72,130,2024-25,636,22,3
Bhatpalli,Bijapur,Chhattisgarh,250.88,11.28,121.33,6.56,0.58,0.5,5.22,2.8,9.8,27.0,72,130,2024-25,636,22,1
Bhattiguda,Bijapur,Chhattisgarh,228.34,14.01,215.68,7.12,1.08,0.68,5.74,1.38,11.16,27.0,72,130,2024-25,636,22,5
Cheramangi,Bijapur,Chhattisgarh,192.49,11.39,281.31,6.63,0.74,0.47,4.27,1.34,11.59,27.0,72,130,2024-25,636,22,30
Chilkapalli,Bijapur,Chhattisgarh,178.75,15.11,181.33,6.52,0.31,0.32,5.65,0.81,8.5,27.0,72,130,2024-25,636,22,4
Dharavaram,Bijapur,Chhattisgarh,225.79,11.69,162.02,6.77,1.28,0.57,6.69,1.75,14.8,27.0,72,130,2024-25,636,22,3
Dugaiguda,Bijapur,Chhattisgarh,192.45,12.99,335.09,6.81,0.71,0.5,6.3,0.99,9.7,27.0,72,130,2024-25,636,22,3
Engpalli,Bijapur,Chhattisgarh,225.99,11.28,155.84,6.65,1.32,0.5,5.2,1.2,11.2,27.0,72,130,2024-25,636,22,1
Futkel,Bijapur,Chhattisgarh,212.33,15.29,286.05,343.82,0.61,0.55,5.3,0.92,11.02,27.0,72,130,2024-25,636,22,41
Hirapur,Bijapur,Chhattisgarh,212.41,11.42,220.85,6.56,0.71,0.53,5.53,1.99,11.88,27.0,72,130,2024-25,636,22,104
Palnar,Bijapur,Chhattisgarh,194.27,13.4,339.88,6.64,0.59,0.51,154.51,0.92,9.0,27.0,72,130,2024-25,636,22,33
Papanpal,Bijapur,Chhattisgarh,229.18,23.38,307.21,6.79,0.57,0.37,6.09,1.1,6.35,27.0,72,130,2024-25,636,22,33
Pegdapalli,Bijapur,Chhattisgarh,246.7,16.81,222.07,6.6,0.9,0.6,5.37,0.71,12.93,27.0,72,130,2024-25,636,22,3
Pegdapalli(Basaguda),Bijapur,Chhattisgarh,192.64,14.09,245.46,6.47,0.71,0.51,5.1,0.47,10.32,27.0,72,130,2024-25,636,22,14
Sitanagaram(Jajalguda),Bijapur,Chhattisgarh,222.65,12.4,165.93,6.72,1.0,0.56,6.06,1.12,13.98,27.0,72,130,2024-25,636,22,8
Talnar,Bijapur,Chhattisgarh,238.38,7.7,159.24,6.63,0.63,0.6,7.36,1.2,15.9,27.0,72,130,2024-25,636,22,1
Tunder,Bijapur,Chhattisgarh,221.61,13.53,171.84,4.6,2.4,0.71,4.76,5.57,16.37,27.0,72,130,2024-25,636,22,3
Bharari,Bilaspur,Chhattisgarh,150.0,8.96,425.0,7.2,0.6,6.0,12.58,2.15,12.5,27.0,72,130,2023-24,375,22,1
Bhurkunda,Bilaspur,Chhattisgarh,168.36,8.26,346.64,6.14,0.43,6.0,25.56,1.75,9.61,27.0,72,130,2023-24,375,22,11
Chanadongri,Bilaspur,Chhattisgarh,206.5,9.85,346.5,6.9,0.6,6.5,20.12,2.02,14.0,27.0,72,130,2023-24,375,22,2
Ganiyari,Bilaspur,Chhattisgarh,193.0,14.25,343.57,6.61,0.28,4.71,17.09,1.53,14.82,27.0,72,130,2023-24,375,22,7
Gataura,Bilaspur,Chhattisgarh,187.69,10.07,342.06,8.67,1.6,4.49,33.93,2.67,15.32,27.0,72,130,2023-24,375,22,35
Jhalmala,Bilaspur,Chhattisgarh,181.5,7.17,263.0,6.65,0.38,7.5,36.38,4.15,8.12,27.0,72,130,2023-24,375,22,2
Kauwatal,Bilaspur,Chhattisgarh,206.5,7.62,246.0,7.5,0.38,3.5,34.4,3.82,12.75,27.0,72,130,2023-24,375,22,2
Pipartarai,Bilaspur,Chhattisgarh,248.33,8.21,360.0,6.9,0.44,4.83,10.64,2.47,11.04,27.0,72,130,2023-24,375,22,6
Salkha,Bilaspur,Chhattisgarh,215.53,9.1,320.94,6.97,0.46,5.82,35.06,2.68,8.53,27.0,72,130,2023-24,375,22,17
Semri,Bilaspur,Chhattisgarh,228.78,10.8,379.28,6.44,0.5,4.67,11.47,1.34,12.33,27.0,72,130,2023-24,375,22,18
Sirsaha,Bilaspur,Chhattisgarh,220.6,12.98,284.4,7.38,0.45,5.8,18.02,2.38,12.25,27.0,72,130,2023-24,375,22,5
Badekameli,Dantewada,Chhattisgarh,194.43,11.14,256.78,6.55,1.55,0.32,5.22,0.97,5.8,27.0,72,130,2025-26,376,22,4
Chhote Lakhapal,Dantewada,Chhattisgarh,188.16,12.36,348.24,6.69,0.16,0.9,6.65,1.17,6.5,27.0,72,130,2025-26,376,22,1
Gumda,Dantewada,Chhattisgarh,200.7,5.48,145.23,6.48,0.3,0.1,5.96,0.96,7.9,27.0,72,130,2025-26,376,22,1
Jabeli,Dantewada,Chhattisgarh,196.14,17.47,203.29,6.72,0.45,0.46,5.24,1.07,8.18,27.0,72,130,2025-26,376,22,11
Jaunga,Dantewada,Chhattisgarh,191.74,17.42,170.46,6.85,0.47,0.46,5.2,1.21,7.44,27.0,72,130,2025-26,376,22,7
Kasoli,Dantewada,Chhattisgarh,181.88,12.79,243.42,6.83,0.51,0.28,5.4,0.68,5.58,27.0,72,130,2025-26,376,22,6
Kuakonda,Dantewada,Chhattisgarh,163.07,14.24,237.11,6.76,0.53,0.6,5.22,1.27,10.35,27.0,72,130,2025-26,376,22,2
Mangnar,Dantewada,Chhattisgarh,181.88,9.36,235.59,6.59,0.66,0.6,6.27,0.97,11.45,27.0,72,130,2025-26,376,22,4
Nerli,Dantewada,Chhattisgarh,215.75,8.94,233.23,6.55,0.66,0.24,5.18,1.4,6.48,27.0,72,130,2025-26,376,22,5
Porokameli,Dantewada,Chhattisgarh,263.42,8.87,275.32,6.5,0.79,0.4,5.3,0.68,12.1,27.0,72,130,2025-26,376,22,1
Salnar,Dantewada,Chhattisgarh,198.77,13.18,173.25,6.8,0.44,0.28,6.67,0.83,7.16,27.0,72,130,2025-26,376,22,13
